Law-Name,Category,Chapter,Article-Category,Article-Number,Article-Description,Punishment
AMASEZERANO MPUZAMAHANGA Y'I VIYENE YEREKEYE UBURYOZWE BW'INDISHYI Z’IBYANGIJWE N'INGUFU ZA KIRIMBUZI,Amasezerano mpuzamahanga,NA,NA,Ingingo ya II,"1. Ukoresha uruganda rw'ingufu za
kirimbuzi ni we wirengera ibyangijwe
n'ingufu za kirimbuzi iyo hari ibimenyetso
bigaragaza neza ko koko byangijwe
n'impanuka y’ingufu za kirimbuzi: (a) yabeeye mu ruganda rwe rw'ingufu za
kirimbuzi; cyangwa  (b) yatewe n’ibikoresho by'ingufu za
kirimbuzi bivuye cyangwa bikomoka mu
ruganda rwe rw'ingufu za kirimbuzi, maze
bikaba : (i) mbere y’uko uburyozwe ku mpanuka
z'ingufu za kirimbuzi itewe n'ibikoresho
by'ingufu za kirimbuzi buba, hakurikijwe
ingingo zikubiye mu masezerano yanditse,
ukoresha uruganda agirana n'urundi ruganda
rw'ingufu za kirimbuzi; (ii) iyo izo ngingo zidahari, mbere y'uko
ukoresha uruganda n'urundi ruganda
rw'ingufu za kirimbuzi bakoresha icyo
gikoresho cy'ingufu za kirimbuzi; cyangwa (iii) iyo igikoresho cy'ingufu za kirimbuzi
kigenewe gukoreshwa mu mbarutso y'ingufu
za kirimbuzi iri kumwe n'uburyo
bw'ubwikorezi ikanakoreshwa nk'inkomoko
y'ingufu, zaba izo kohereza cyangwa
gukoreshwa mu bundi buryo, mbere y'uko
umuntu wemerewe gukoresha iyo mbarutso
aba atarahabwa igikoresho cy'ingufu za
kirimbuzi; ariko
 (iv) iyo igikoresho cy’ingufu za kirimbuzi
cyohererejwe umuntu uri ku butaka
bw’igihugu kitari muri aya Masezerano,
mbere y'uko gipakururwa mu cyakigejeje ku
butaka bw’icyo gihugu kitayarimo; (c) itewe n'igikoresho cy'ingufu za kirimbuzi
cyoherejwe ku ruganda rwe kandi ikaba : (i) nyuma y’uko uburyozwe ku mpanuka
z'ingufu za kirimbuzi itewe n'ibikoresho
by'ingufu za kirimbuzi buba kubera we,
hakurikijwe ingingo zikubiye mu
masezerano yanditse, y’ukoresha urundi
ruganda rw'ingufu za kirimbuzi (ii) iyo izo ngingo zidahari mu masezerano
yanditse, nyuma y'uko ahabwa icyo
gikoresho cy'ingufu za kirimbuzi; cyangwa (iii) amaze guhabwa igikoresho by'ingufu za
kirimbuzi cy’umuntu ukoresha igikoresho
gikora ingufu za kirimbuzi, hakoreshejwe
uburyo bwo gutwara ibintu kugira ngo
gikoreshwe nk’isoko y’ingufu, haba
kubisunika cyangwa ku bw’indi mpamvu iyo
ari yo yose ; ariko (iv) iyo ibikoresho by'ingufu za kirimbuzi,
byoherejwe, byemewe mu nyandiko
n’ubikoresha, bikozwe n’umuntu uri ku
butaka bw'igihugu kitari muri aya
Masezerano, gusa nyuma y'uko gipakirwa
mu cyigikura ku butaka bw’icyo gihugu; ku
buryo, iyo ibyangijwe n'ingufu za kirimbuzi
bitewe n'impanuka y'ingufu za kirimbuzi
ibereye mu ruganda rw'ingufu za kirimbuzi kandi itewe n'ibikoresho by'ingufu za
kirimbuzi bibitsemo byajyanywe muri ubwo
bwikorezi mu buryo butateguwe,
ibiteganywa n'agace (a) k'iki gika
ntibikurikizwa iyo undi ukoresha uruganda
rw'ingufu za kirimbuzi cyangwa undi muntu
ari we wenyine ubiryozwa hakurikijwe
ibiteganywa n'agace (b) cyangwa (c) k'iki
gika.
  2. Igihugu gifite uruganda rw'ingufu za
kirimbuzi gishobora guteganya mu mategeko
yacyo ko mu buryo bwashobora
gusobanurwamo, umwikorezi w’ibikoresho
by'ingufu za kirimbuzi cyangwa umuntu
akoresha imyanda yifitemo imirasire yangiza
ashobora, abyisabiye kandi byemewe
n’ukoresha uruganda rw'ingufu za kirimbuzi
bireba, gushyirwaho cyangwa kwemerwa
nk'ukoresha uruganda rw'ingufu za kirimbuzi
mu cyimbo cye, ku birebana ibikoresho
by'ingufu za kirimbuzi cyangwa imyanda
yifitemo imirasire yangiza. Muri icyo gihe,
uwo mwikorezi cyangwa uwo muntu afatwa,
ku bw’aya Masezerano, nk'ukoresha
uruganda rw'ingufu za kirimbuzi ruherereye
ku butaka bw'icyo gihugu. 3. (a) iyo ibyangijwe n'ingufu za kirimbuzi
biryozwa abakoresha uruganda rw'ingufu za
kirimbuzi benshi bafatanya uburyozwe kandi
kuri byose mu gihe bidashoboka kugaragaza
neza umugabane w’ibyangijwe byaharirwa
buri wese.
  (b) iyo impanuka y'ingufu za kirimbuzi
ibaye mu gihe igikoresho cy'ingufu za
kirimbuzi gitwawe, haba mu cyigitwaye
kimwe cyangwa mu gihe kibitswe gitwarwa
mu ruganda rumwe rw’ingufu za kirimbuzi
kandi kigatuma haba ibyangijwe bitewe
n’ingufu za maze ikagira ibyo yangiza
bituma biryozwa abantu benshi bakoresha
uruganda rw'ingufu za kirimbuzi, ,
uburyozwe bwose hamwe ntibushobora
kurenza igiciro cyo hejuru gicibwa umwe
uwo ari we wese muri bo hakurikijwe
ibiteganywa n'ingingo ya V.  (c) nta na kimwe mu byavuzwe mu duce (a)
na (b) tw'iki gika twatuma haryozwa
ukoresha uruganda rw'ingufu za kirimbuzi
ibirenze ibikurikizwa kuri we hakurikijwe
ibiteganywa n'ingingo ya V.  4. Haseguriwe ibiteganywa n'igika cya 3
cy'iyi ngingo, iyo inganda z'ingufu za
kirimbuzi z'ukoresha uruganda rw'ingufu za
kirimbuzi umwe zihuriweho n'impanuka
y'ingufu za kirimbuzi, uwo ukoresha
uruganda rw'ingufu za kirimbuzi yirengera
ibyangijwe na buri ruganda rw'ingufu za
kirimbuzi hakurikijwe ibimuryozwa
biteganywa n'ingingo ya V. 5. Uretse iyo aya Masezerano abiteganya
ukundi, nta muntu n'umwe utari ukoresha
uruganda rw'ingufu za kirimbuzi uryozwa
ibyangijwe n'ingufu za kirimbuzi. Icyakora,
ibi ntacyo bihindura ku ikurikizwa
ry'amasezerano mpuzamahanga ayo ari yo
yose yerekeye ubwikorezi yakurikizwaga
cyangwa yari yemerewe gushyirwaho
umukono, kwemezwa burundu cyangwa
yemerera igihugu kwemera kuba kimwe mu
biyahuriyeho ku itariki aya Masezerano
yemerewe gushyirwaho umukono. 6. Nta muntu n'umwe uryozwa ibyabuze
cyangwa ibyangiritse bitazize ingufu za
kirimbuzi hakurikijwe ibiteganywa n'agace
(k) k'igika cya 1 cy'ingingo ya I, ariko byagombaga kuba bikubiyemo hakurikijwe
ibiteganywa n'agace (k) (ii) k'icyo gika.
  7. Ikirego kitaziguye gishobora gutangwa
haregwa umuntu utanga ubwishingizi
hakurikijwe ibiteganywa n'ingingo ya VII,
iyo itegeko ry'urukiko rubifitiye ububasha
ribiteganya.
",
AMASEZERANO MPUZAMAHANGA Y'I VIYENE YEREKEYE UBURYOZWE BW'INDISHYI Z’IBYANGIJWE N'INGUFU ZA KIRIMBUZI,Amasezerano mpuzamahanga,NA,NA,Ingingo ya III,"Ukoresha uruganda rw'ingufu za kirimbuzi uryozwa hakurikijwe ibiteganywa n'aya Masezerano agomba guha umwikorezi icyemezo gitangwa n'umwishingizi cyangwa umuntu utanga ubwishingizi mu mafaranga busabwa hakurikijwe ibiteganywa n'ingingo ya VII cyangwa mu izina rye. Icyemezo kigaragaza amazina y'uwo ukoresha uruganda rw'ingufu za kirimbuzi n'aho abarizwa ndetse n’amafaranga, ubwoko n'igihe agaciro k’ubwishingizi kamara, umuntu watanze icyemezo cyangwa uwabikoze mu izina rye ntashobora guhakana ayo makuru. Icyemezo kandi kigaragaza igikoresho cy'ingufu za kirimbuzi kirebwa n’ubwishingizi ndetse kikanagaragaza amakuru atangwa n’umuyobozi ubifitiye ububasha w’ighugu
uruganda rurimo yemeza ko umuntu
wavuzwe akoresha uruganda rw'ingufu za
kirimbuzi hakurikijwe ibiteganywa n'aya
Masezerano. ",
AMASEZERANO MPUZAMAHANGA Y'I VIYENE YEREKEYE UBURYOZWE BW'INDISHYI Z’IBYANGIJWE N'INGUFU ZA KIRIMBUZI,Amasezerano mpuzamahanga,NA,NA,Ingingo ya IV,"1. Uburyozwe bw'ukoresha uruganda rw'ingufu za kirimbuzi ku byangijwe n'ingufu za kirimbuzi hakurikijwe ibiteganywa n'aya Masezerano ni ndakuka. 2. Iyo ukoresha uruganda rw'ingufu za
kirimbuzi agaragaje neza ko ibyangijwe
n'ingufu za kirimbuzi, byose cyangwa igice
cyabyo, byatewe n'uburangare
bw'uwagizweho ingaruka cyangwa akaba
yagize icyo akora cyangwa yanze gukora
bigatera iyo mpanuka, urukiko rubifitiye
ububasha rushobora, iyo amategeko yarwo
abiteganya, kugabanyiriza ukoresha
uruganda rw'ingufu za kirimbuzi inshingano
ze, zose cyangwa igice cyazo, zo kwishyura
indishyi z'ibyangiritse by'uwo muntu. 3. (a) Nta buryozwe buteganywa n'aya
Masezerano bushobora gusabwa ukoresha
uruganda rw'ingufu za kirimbuzi ku
byangijwe n'ingufu za kirimbuzi biturutse ku
mpanuka y'ingufu za kirimbuzi yatewe ku
buryo butaziguye n’igikorwa cy’intambara,
imirwano, intambara y’isubiranamo
cyangwa imyivumbagatanyo.  (b) Uretse igihe amategeko y'igihugu gifite
uruganda rw'ingufu za kirimbuzi abiteganya
ukundi, ukoresha uruganda rw'ingufu za
kirimbuzi ntaryozwa ibyangijwe n'ingufu za
kirimbuzi bitewe n’impanuka y'ingufu za
kirimbuzi iturutse ku buryo butaziguye ku
biza bidazanzwe 4. Iyo ibyangijwe n'ingufu za kirimbuzi
n'ibyangijwe n'ingufu zitari iza kirimbuzi
byatewe n'impanuka y'ingufu za kirimbuzi
cyangwa bigahurirwaho n'impanuka y'ingufu
za kirimbuzi kimwe n'ikindi kintu cyangwa
ibintu byabaye, icyo kindicbyangijwe, mu
mu gihe kidashobora gutandukanywa
n'ibyangijwe n'ingufu za kirimbuzi, ku
bw’aya Masezerano gifatwa nk'icyangijwe
n'impanuka y’ngufu za kirimbuzi. Icyakora,
iyo ibyangijwe n'ingufu za kirimbuzi
bihuriweho n'impanuka y'ingufu za kirimbuzi ivugwa muri aya Masezerano
hamwe n'iyoherezwa ry'imirasire yangiza
ifite uburozi itavugwamo, nta na kimwe muri
aya Masezerano kibuza cyangwa gihindura
iryozwa, haba ku bantu bagizweho ingaruka
n'ibyangijwe n'ingufu za kirimbuzi cyangwa
uruhare rw'umuntu uwo ari we wese
ushobora kuryozwa ko afite aho ahuriye
n'iyoherezwa ry'iyo mirasire yangiza ifite
uburozi.  5. Ukoresha uruganda rw'ingufu za
kirimbuzi ntaryozwa ku bw’aya Masezerano
ibyangijwe n'ingufu za kirimbuzi :
 (a) ku ruganda rw'ingufu za kirimbuzi
ubwarwo cyangwa umutungo uwo ari wo
wose uri mu kibanza cy'uruganda ukoreshwa
cyangwa utegerejwe gukoreshwa mu bifite
aho bihuriye n'uruganda; cyangwa (b) ku cyifashishwaga mu bwikorezi cyari
gitwaye igikoresho cy'ingufu za kirimbuzi
mu gihe impanuka y'ingufu za kirimbuzi
yabaga.  1. Igihugu icyo ari cyo cyose kirimo
uruganda rw'ingufu za kirimbuzi gishobora
guteganya mu mategeko yacyo ko
ibiteganywa n'agace ka (b) k'igika cya 5
cy'iyi ngingo bidakurikizwa, haseguriwe ko
nta na rimwe uburyozwe bw’ukoresha
uruganda rw'ingufu za kirimbuzi ku
byangijwe n’ingufu za kirimbuzi bitari
ibyangijwe n'ingufu za kirimbuzi biturutse
ku buryo bw’ ubwikorezi, bitajya munsi ya
miliyoni 5 z'amadolari ya Leta zunze
ubumwe za Amerika ku mpanuka iyo ari yo
yose y'ingufu za kirimbuzi.
 2. Nta ngingo n’imwe y’aya Masezerano
igira ingaruka ku :  (a) uburyozwe bw'umuntu ku giti cye
watumye ibyangijwe ni ingufu za kirimbuzi,
ku bwo gukora igikorwa cyangwa kudakora
byateye ibyangijwe n’ingufu za kirimbuzi
ukoresha uruganda rw'ingufu za kirimbuzi,
hakurikijwe ibiteganywa n'igika cya 3
cyangwa icya 5 b'iyi ngingo, ataba ari we
ubiryozwa hakurikijwe aya Masezerano ;
cyangwa  (b) uburyozwe bw’ukoresha uruganda
rw'ingufu za kirimbuzi budateganywa n'aya
Masezerano, ku byangijwe n'ingufu za
kirimbuzi, hakurikijwe ibiteganywa n'agace
ka (b) k'igika cya 5 cy'iyi ngingo, ukoresha
uruganda rw’ingufu za kirimbuzi ntacyo
aryozwa hakurikijwe aya Masezerano.
 ",
AMASEZERANO MPUZAMAHANGA Y'I VIYENE YEREKEYE UBURYOZWE BW'INDISHYI Z’IBYANGIJWE N'INGUFU ZA KIRIMBUZI,Amasezerano mpuzamahanga,NA,NA,Ingingo ya V,"1. Igihugu kirimo uruganda rw’ingufu za kirimbuzi gishobora gushyiraho urugero rw’ uburyozwe bw'ukoresha uruganda rw'ingufu za kirimbuzi budashobora kujya munsi ya miliyoni 5 z'amadolari ya Amerika ku mpanuka y'ingufu za kirimbuzi iyo ari yo yose. 2. ibigero ntarengwa by’uburyozwe
bishobora gushyirwaho hakurikijwe iyi
ngingo ntihakubiramo inyungu cyangwa
amafaranga agenwa n'urukiko mu rwego rw’
ibirego by’indishyi ku byangijwe n'ingufu za
kirimbuzi.  3. Amadolari ya Leta Zunze Ubumwe za
Amerika avugwa muri aya Masezerano ni  igipimo fatizo kingana n'igiciro cya zahabu
cyo ku wa 29 Mata 1963, bivuze ko ari
amadolari 35 ku gipimo cya zahabu
itunganyije.  4. Igiteranyo kivugwa mu gika cya 6
cy’ingingo ya IV no mu gika cya 1 cy'iyi
ngingo gishobora guhindurwa mu mafaranga
mbumbe y'igihugu .
 ",
AMASEZERANO MPUZAMAHANGA Y'I VIYENE YEREKEYE UBURYOZWE BW'INDISHYI Z’IBYANGIJWE N'INGUFU ZA KIRIMBUZI,Amasezerano mpuzamahanga,NA ,NA,Ingingo ya VI,"1. Uburenganzira ku ndishyi buvugwa muri aya Masezerano bushobora kuzima iyo nta kirego gitanzwe mu gihe cy'imyaka 10 uhereye igihe impanuka y'ingufu za kirimbuzi yabereye. Icyakora, hakurikijwe amategeko y'igihugu gifite uruganda rw'ingufu za kirimbuzi uburyozwe bw’ukoresha uruganda rw'ingufu za kirimbuzi buri mu bwishingizi cyangwa ingwate y’amafaranga cyangwa imari y’igihugu mu gihe kirenze imyaka 10, itegeko ry’urukiko rubifitiye ububasha rushobora guteganya ko uburenganzira ku ndishyi ziryozwa ukoresha uruganda rw'ingufu za kirimbuzi buzima gusa mu gihe gishobora kurenga imyaka 10, ariko ntibirenge igihe uburyozwe bwishingiwemo
hakurikijwe amategeko y’igihugu y'igihugu
kirimo uruganda rw'ingufu za kirimbuzi.
Uko kongera igihe cy’ubuzime ntacyo
bihindura ku burenganzira bw'indishyi
hakurikijwe aya Masezerano ku muntu wese
watanze ikirego kubera kubura ubuzima
cyangwa kwangiza umubiri haregwa
ukoresha uruganda rw’ingufu za kirimbuzi
mbere yo kurangira kw’igihe cyavuzwe
haruguru cy’imyaka 10. 2. Iyo ibyangijwe n'ingufu za kirimbuzi
byatewe n'impanuka y'ingufu za kirimbuzi
bitewe n’igikoresho cy'ingufu za kirimbuzi
mu gihe impanuka y’ingufu za kirimbuzi
yabaga cyari cyaribwe, cyaratakaye,
cyarajugunywe cyangwa cyarasizwe, igihe
kivugwa mu gika cya mbere cy'iyi ngingo
kibarwa uhereye ku itariki iyo mpanuka
y'ingufu za kirimbuzi yabereyeho, ariko
ntigishobora kurenga imyaka makumyabiri
uhereyeku itariki yo kwibwa, gutakara,
kujugunywa cyangwa gusigwa.  3. Amategeko y'urukiko rubifitiye ububasha
ashobora kushyiraho igihe kigenwe
cy’ubuzime cyangwa ubusaze bw’igihe
nibura cy’imyaka itatu y'imyaka itatu  uhereye ku itariki umuntu wangirijwe
n'ingufu za kirimbuzi yamenye cyangwa
yagombaga kumenyera ibyangijwe ndetse
n'ukoresha uruganda rw'ingufu za kirimbuzi
ubiryozwa ku buryo igihe cyagenwe
hakurikijwe ibiteganywa n'igika cya 1 n'icya
2 by'iyi ngingo kidshobora kurenga.  4. Uretse ingingo y’amategeko y'urukiko
rubifitiye ububasha yabiteganya ukundi,
umuntu uwo ari we wese ugaragaza ko
yangirijwe n’ingufu za kirimbuzi kandi
watanze ikirego cy’indishyi mu gihe
giteganyijwe hakurikijwe iyi ngingo
ashobora kguhindura ikirego kugira ngo yite
ku buremere bw’ibyangijwe ndetse na nyuma
yo kurangira kw’icyo gihe icibwa5. Iyo ububasha bw’urukiko bushobora
kugenwa hakurikijwe agace ka (b) k'igika 
cya 3 cy'ingingo ya XI ndetse ikirego kikaba
cyaragejejwe ku gihugu kiri muri aya
Masezerano kibifitiye ububasha mu gihe
cyigenwe hakurikijwe iyi ngingo, ikirego
cyose gishobora gutangwa mu gihe cy’amezi
atandatu akurikira itangwa ry’ububasha mu
gihe iryo tangwa ry’ububasha ryabaho mu
ry’urubanza ndakuka ripfa kuba ritaraba  mezi aciye munsi y’atandatu mbere
y’ukurangira kw’icyo gihe. ",
AMASEZERANO MPUZAMAHANGA Y'I VIYENE YEREKEYE UBURYOZWE BW'INDISHYI Z’IBYANGIJWE N'INGUFU ZA KIRIMBUZI,Amasezerano mpuzamahanga,NA,NA,Ingingo ya VII,"1. Ukoresha uruganda rw'ingufu za kirimbuzi asabwa gukomeza kugira ubwishingizi cyangwa ingwate y’amafaranga byishingira uburyozwe bwe ku byangijwe n’ingufu za kirimbuzi, ingano y’amafaranga, ubwoko n’ubisabwa ku bwishingizi bigenwa n’igihugu uruganda rurimo. Igihugu gifite uruganda rw'ingufu za kirimbuzi gikora ku buryo indishyi zishyuzwa ukoresha uruganda rw'ingufu za kirimbuzi ku byangijwe n'ingufu za kirimbuzi zishyurwa hatangwa amafaranga akenewe mu gihe ubwishingizi cyangwa ingwate y’amafranga byaba bidahagije ariko kandi uko kwishyura ku kaba kutarengeje urugero ntarengwa rwashyizweho hakurikijwe ibiteganywa n'ingingo ya V. 2. Nta giteganywa na kimwe mu gika cya
mbere cy’iyi ngingo gitegeka igihugu kiri
muri aya Masezerano cyangwa igice kimwe
mu bikigize nk’ ibihugu cyangwa
Repubulika gufata ubwishingizi cyangwa indi ngwate y’amafaranga kugira byishyure
uburyozwe nk’ukoresha uruganda rw'ingufu
za kirimbuzi. 3. Amafaranga akomoka ku bwishingizi,
cyangwa ku ngwate y’amafaranga iyo ari yo
yose cyangwa yatanzwe n’igihugu kirimo
uruganda rw’ingufu za kirimbuzi
hakurikijwe ibiteganywa n'igika cya 1 cy'iyi
ngingo akoreshwa gusa mu kwishyura
indishyi hubahirizwa aya Masezerano. 4. Nta mwishingizi n’umwe cyangwa undi
utanga ingwate y’amafaranga ushobora
guhagarika cyangwa gutesha agaciro
ubwishingizi cyangwa ingwate y’amafaranga
yatanzwe hakurikijwe ibiteganywa mu gika
cya 1 cy’iyi ngingo adatanze intenguza
yanditse nibura y’amezi abiri ku muyobozi
w’igihugu ubifitiye ububasha cyangwa mu
gihe ubwo bwishingizi cyangwa indi ngwate
y’amafaranga bireba ubwikorezi
bw’ibikoresho by’ingufu za kirimbuzi mu
gihe cy’itwarwa ry’ibikoresho by’ingufu za
kirimbuzi birebwa.
 ",
AMASEZERANO MPUZAMAHANGA Y'I VIYENE YEREKEYE UBURYOZWE BW'INDISHYI Z’IBYANGIJWE N'INGUFU ZA KIRIMBUZI,Amasezerano mpuzamahanga,NA,NA,Ingingo ya VIII,"Haseguriwe ibiteganywa n'aya Masezerano, ubwoko, imiterere n'ikigero cy'indishyi, kimwe ndetse n’isaranganywa mu buryo bungana, bigengwa n'itegeko ry'urukiko rubifitiye ububasha.",
AMASEZERANO MPUZAMAHANGA Y'I VIYENE YEREKEYE UBURYOZWE BW'INDISHYI Z’IBYANGIJWE N'INGUFU ZA KIRIMBUZI,Amasezerano mpuzamahanga,NA,NA,Ingingo ya IX,"1. Iyo ibiteganywa bw’uburyo bw’ubwishingizi bw’indwara bw’igihugu cyangwa bwa rusange, ubwisungane, ubwiteganyirize bw’abakozi, indishyi z'impanuka z’akaz cyangwa z'uburwayi bukomoka ku kazi bikubiyemo indishyi z'ibyangijwe n'ingufu za kirimbuzi, uburenganzira bw'abo zigenerwa kugira ngo bazibone hakurikijwe ibiteganywa n'aya Masezerano kimwe n'uburenganzira bwo kuzishyuza hakurikijwe ubwo buryo, ukoresha uruganda rw'ingufu za kirimbuzi agenwa, hashingiwe ku biteganywa n’aya Masezerano, n'amategeko y'igihugu kiri muri aya Masezerano ubwo buryo bwashyizwemo cyangwa n’amabwiriza y'umuryango mpuzamahanga uhuriweho n’ibihugu washyizeho ubwo buryo. 2. (a) Iyo ununtu ari umwenegihugu
w'igihugu kiri muri aya Masezrano, utari
ukoresha uruganda rw'ingufu za kirimbuzi,
yishyushye indishyi z'Ibyangijwe n'ingufu za
kirimbuzi hakurikijwe ibiteganywa
n'amasezerano mpuzamahanga cyangwa
hakurikijwe amategeko y'igihugu kitari muri
aya Masezerano, uwo muntu agomba
hagendewe ku mafaranga yishyuye guhabwa
mu buryo bwo gusimbura uburenganzira
buteganywa n'aya Masezerano bw'uwo
muntu wahawe indishyi. Nta burenganzira na
bumwe Bushobora guhabwa umuntu uwo ari
we wese mu gihe ukoresha uruganda
rw'ingufu za kirimbuzi afite uburenganzira
bwo gukurikirana uwo muntu hakurikijwe
aya Masezerano.  (b) Nta na kimwe mu biteganyw an'aya
masezerano kibuza ukoresha uruganda
rw'ingufu za kirimbuzi wamaze kwishyura
indishyi z'ibyangijwe n'ingufu za kirimbuzi
akoresheje amafaranga atari ateganywa
n'igika cya 1 cy'ingingo ya VII akomoka ku
muntu utanga ubwishingire bukurikiza
ibiteganywa n'icyo gika cyangwa akomoka
ku gihugu gifite uruganda rw'ingufu za
kirimbuzi, ku mafaranga yishyuye, igiteranyo umuntu wishyuwe indishyi
yakabaye yarahawe hakurikijwe ibiteganywa
n'aya masezerano. ",
AMASEZERANO MPUZAMAHANGA Y'I VIYENE YEREKEYE UBURYOZWE BW'INDISHYI Z’IBYANGIJWE N'INGUFU ZA KIRIMBUZI,Amasezerano mpuzamahanga,NA,NA,Ingingo ya X,"Ukoresha uruganda rw'ingufu za kirimbuzi agira uburenganzira bwo kujurira gusa: (a) iyo byateganyijwe mu buryo bweruye
n’amasezerano yanditse; cyangwa (b) iyo impanuka y'ingufu za kirimbuzi
yatewe n'ibyakozwe cyangwa
ibyirengagijwe gukorwa hagamijwe
kwangiza, bigacibwa uwo muntu wakoze
cyangwa wirengagije gukora afite umugambi
nk’uwo.
 ",
AMASEZERANO MPUZAMAHANGA Y'I VIYENE YEREKEYE UBURYOZWE BW'INDISHYI Z’IBYANGIJWE N'INGUFU ZA KIRIMBUZI,Amasezerano mpuzamahanga,NA,NA,Ingingo ya XI,"1. Uretse ingingo yabiteganya ukundi, ububasha ku bikorwa biteganywa n'ingingo ya II bufitwe gusa n'inkiko z'igihugu kiri muri aya Masezerano impanuka y'ingufu za
kirimbuzi yabereyemo ku butaka bwacyo 2. Iyo Impanuka y'ingufu za kirimbuzi
yabereye hanze y’ubutaka bw’igihugu kiri
muri aya Masezerano, cyangwa iyo
ahabereye impanuka y'ingufu za kirimbuzi
hadashoboora kugaragazwa neza, ububasha
ibikorwa nk’ibyo bugirwa gusa n'inkiko
z'igihugu kirimo uruganda rw'ingufu za
kirimbuzi rw'ukoresha uruganda rw'ingufu za
kirimbuzi uryozwa.
  3. Iyo hakurikijwe ibiteganywa n'igika cya 1
cyangwa icya 2 by'iyi ngingo, ububasha
bwaba ubw'inkiko z'ibihugu bihuriye kuri
aya Masezerano birenze kimwe, ububasha
buba:
  (a) iyo impanuka y'ingufu za kirimbuzi igice
cyayo cyabereye hanze y'igihugu kiri muri
aya Masezerano n’igice kindi kikabera ku
butaka bw’igihugu kimwe gusa kiri muri aya
Masezerano, ububasha buba ubw’inkiko
z’icyo gihugu kivugwa nyuma ; kandi  (b) mu bindi bihe byose buhabwa inkiko
z'igihugu kiri muri aya Masezerano
cyagenwe n'amasezerano akozwe hagati
y'ibihugu bihuriye kuri aya Masezerano
inkiko zabyo zabaye zifite ububasha
hakurikijwe igika cya 1 cyangwa cya 2 cy’iyi
ngingo. ",
AMASEZERANO MPUZAMAHANGA Y'I VIYENE YEREKEYE UBURYOZWE BW'INDISHYI Z’IBYANGIJWE N'INGUFU ZA KIRIMBUZI,Amasezerano mpuzamahanga,NA,NA,Ingingo ya XII,"1. Urubanza rwabaye itegeko rwaciwe n’urukiko rubifitiye ububasha hakurikijwe ingingo ya XI ruzemerwa ku butaka bw’ikindi gihugu icyo ari cyo cyose kiri muri aya Masezerano usibye: (a) iyo urubanza rwaciwe mu buriganya;  (b) iyo uruhande rwatsinzwe rutabonye
uburyo bwo kwiregura  (c) iyo urubanza rwaciye runyuranyije
n'amategeko ndemyagihugu y'igihugu kiri
muri aya Masezerano urubanza rugomba  kwemerwa ku butaka bwacyo, cyangwa
udashingiye ku mahame remezo y'ubutabera. 2. Icyemezo ndakuka cyemewe, iyo
gitanzwe ngo gishyirwe mu bikorwa
hakurikijwe ibisabwa n’amategeko
y’igihugu kiri muri aya Masezerano aho
urubanza rugomba kurangirizwa, gishyirwa
mu bikorwa bikorwa nk'aho ari icyemezo
cy’urukiko rw’icyo gihugu kiri muri aya
Masezerano.  3. Ibyashingiweho urubanza rucibwa
ntibyifashishwa mu gutanga ikirego gishya. ",
AMASEZERANO MPUZAMAHANGA Y'I VIYENE YEREKEYE UBURYOZWE BW'INDISHYI Z’IBYANGIJWE N'INGUFU ZA KIRIMBUZI,Amasezerano mpuzamahanga,NA,NA,Ingingo ya XIII,"Aya Masezereno kimwe n'amategeko y'igihugu akurikizwa, bikurikizwa nta vangura iryo ari ryo ryose rishingiye ku bwenegihugu, aho umuntu atuye cyangwa aho acumbitse.",
AMASEZERANO MPUZAMAHANGA Y'I VIYENE YEREKEYE UBURYOZWE BW'INDISHYI Z’IBYANGIJWE N'INGUFU ZA KIRIMBUZI,Amasezerano mpuzamahanga,NA,NA,Ingingo ya XIV,"Usibye ibirebana n’ingamba z’ishyirwa mu bikorwa, ubudahangarwa ku birebana n’inkiko hashingiwe ku mategeko y'igihugu cyangwa amategeko mpuzamahanga ntibishobora kwiyambazwa hashingiwe ku biteganywa n'aya Masezerano imbere y'inkiko zibifitiye ububasha hakurikijwe ibiteganywa n'ingingo ya XI.",
AMASEZERANO MPUZAMAHANGA Y'I VIYENE YEREKEYE UBURYOZWE BW'INDISHYI Z’IBYANGIJWE N'INGUFU ZA KIRIMBUZI,Amasezerano mpuzamahanga,NA,NA,Ingingo ya XV,"Ibihugu bihuriye kuri aya Masezerano bifata ingamba zikwiye kugira ngo indishyi z'ibyangijwe n'ingufu za kirimbuzi, inyungu n'ibiguzi bijyanye na zo byatanzwe n'urukiko, amafaranga atangwa ku bwishingizi no kongera kwishinganisha kimwe n'amafaranga atangwa n'ubwishingizi, ubundi mwishingire, cyangwa ubundi bwishingizi mu mafaranga cyangwa amafaranga atangwa n'igihugu kirimo uruganda rw'ingufu za kirimbuzi, hakurikijwe ibiteganywa n'aya Masezerano, avunjwa nta nkomyi mu bwoko bw'amafaranga y'igihugu kiri muri aya Masezerano ibyangijwe byari ku butaka bwacyo, ndetse n'ay'igihugu kiri muri aya
Maasezerano usaba indishyi asanzwe
afitemo icumbi kandi ku birebana
n’amafaranga atangwa ku bwishingizi
n’ubwishyu bw'ubwishingizi cyangwa
kongera kwishinganisha bikavunjwa mu
mafaranga y’amahanga yavuzwe mu
masezerano y’ubwishingizi cyangwa yo
kongera kwishinganisha. ",
